,input,category,target_scores
25,ROBESBON New Cycling Goggles 3 Lens Anti-uv Bike Glasses High Quality Bicycle Glasses Eyewear Las gafas Sunglasses ,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Frame Material': {'n/a': 1}, 'Lens Width': {'n/a': 1}, 'Brand Name': {'ROBESBON': 1}, 'Feature': {'Anti-uv': 1}}"
26,Zacro Cycling Glasses UV400 Sunglasses Men Polarized Sport Bike Bicycle Sun Glasses Driving Cycling Goggles Fishing Eyewear,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Brand Name': {'Zacro': 1}}"
27,Professional Ski Goggles Double Layer Lens Anti-Fog Unisex Men Women Outdoor Skiing Sport Snowboard Goggle Skiing Eyewear,Eyewear,"{'Model Number': {'Skiing Eyewear': 1}, 'Lenses Optical Attribute': {'Anti-Fog': 1}, 'Gender': {'Men': 1}, 'Sport Type': {'Skiing': 1}}"
28,Professional Double Layers UV400 Protection Goggles Anti-fog Big Ski Mask Glasses Skiing Men Women Snow Snowboard skiing Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}, 'Lenses Optical Attribute': {'UV400 Protection': 1}}"
29,Kids Skiing Eyewear For Child Ski Snowboard Goggles Boys Girls Double UV400 Anti-fog Professional Ski Goggles with Bag,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Boys': 1}, 'Model Number': {'n/a': 1}, 'Name': {'Skiing Eyewear': 1}}"
30,Hot! Polarized Cycling Sunglasses Outdoor Sports Bicycle Glasses Bike Sunglasses 77g Goggles Eyewear Oculos Ciclismo #4MY10,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Model Number': {'n/a': 1}, 'Lens Width': {'n/a': 1}}"
31,Cycling Eyewear Outdoor Sport Sun Glasses UV400 MTB Bike Bicycle Cycling Glasses Bike Sunglasses Windproof Eyewear M06Aug NO,Eyewear,"{'Lenses Optical Attribute': {'UV400': 1}, 'Model Number': {'Cycling Eyewear': 1}, 'Sport Type': {'Cycling': 1}}"
32,Ski Goggles Spherical Double Layers Anti-Fog Snow Ski Mask Glasses Skiing Men Women Snow Snowboard Goggles Eyewear Ski Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Women': 1}}"
33,Men Women Sport Cycling Glasses Outdoor Bicycle Sunglasses Eyewear UV400 Lens,Eyewear,"{'Lenses Optical Attribute': {'UV400': 1}, 'Lens Width': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
34,OSHOW Ski Goggles Double Lens Women Snow Sunglasses Helmet Accessories Ski Sunglasses For Snowboard Anti-fog Skiing Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Brand Name': {'OSHOW': 1}, 'Frame Material': {'n/a': 1}}"
35,New Men Polarized Sunglasses HD Bicycle Sun Glasses Small Frame Narrow Face Light Safe Outdoor Sports Goggles Cycling Eyewear,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Men': 1}, 'Lenses Optical Attribute': {'n/a': 1}}"
36,2018 Cycling Driving Men&#39;s Photochromic Polarized Sunglasses Vintage Eyewear for Men Women Coating Points UV400 Male Sun Glasses,Eyewear,"{'Frame Material': {'n/a': 1}, 'Gender': {'Men': 1}, 'Sport Type': {'Cycling': 1}}"
37,Kids Skiing Eyewear For Child Ski Snowboard Goggles Boys Girls Double UV400 Anti-fog Professional Ski Goggles,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Boys': 1}, 'Name': {'Skiing Eyewear': 1}}"
38,Brand Ski Goggles Double Layers UV400 Anti-fog Big Ski Mask Eyewear Glasses Skiing For Men and Women Snow Goggles ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}, 'Lenses Optical Attribute': {'UV400': 1}}"
39,Brand Polarized Cycling SunglassesSports  Road Mountain Bike Bicycle galsses  MTB Riding Running Goggles Eyewear Flight jacketer,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Eyewear Type': {'Sunglasses': 1}}"
40,Skiing Eyewear Glasses Men Women Breathable Double Layers Anti-Fog UV400 Outdoor Sports Multi Colors Snow Skating Ski Goggles ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Women': 1}, 'Frame Color': {'Multi': 1}, 'Lenses Color': {'Multi': 1}, 'Lenses Optical Attribute': {'UV400': 1}}"
41,Outdoor Snowboard Ski Goggles Eyewear Off-Road Sports Glasses Stripe Frame Protective Eyewear Skiing UV400 Snowboard Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Model Number': {'Ski Goggles': 1}}"
42,Fantastic Cycling Eyewear Women Unisex Chic Shades Acetate Frame UV Glasses Sunglasses Ultraviolet Eyeglasses Popular Spectacles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Women': 1}, 'Lenses Material': {'n/a': 1}}"
43,Winter Girls Boys Eyewear Ski Goggles Kids Double Lens UV400 Anti-fog Ski Snow Child Skiing Glasses ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Model Number': {'n/a': 1}, 'Gender': {'Girls': 1}}"
44,"POLISI Professional Ski Glasses Double Layer Lens Snow Goggles UV Protection Anti-Fog Snowboard Skiing Eyewear, Orange Lens",Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'n/a': 1}, 'Brand Name': {'POLISI': 1}}"
45,Ski Goggles With Case Double Lens UV400 Anti-fog Ski Snow Glasses Skiing Men Women Winter Snowboard Eyewear ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
46,100 speedcraft Cycling Sunglasses Polarized Men Sport Mtb Mountain Bike Glasses Eyewear Men Goggles Peter Sagan FJ,Eyewear,"{'Lenses Material': {'Polarized': 1}, 'Model Number': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
47,Cycling Glasses Bike Glasses Outdoor Sports MTB Bicycle Sunglasses Goggles Eyewear FOR Men Women,Eyewear,"{'Lenses Optical Attribute': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
48,Brand Bollfo 6 Colors Full Package TR90 Tactical Goggles Men Sunglasses Eyewear Outdoor Golf Fishing Cycling Gafas sports glass,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lens Width': {'n/a': 1}}"
49,OBAOLAY Ski Goggles Box Protection Snowboard Goggles Carrying Case Storage Bag Women Eyewear Snow Glasses Cover,Eyewear,"{'Lenses Material': {'n/a': 1}, 'Lenses Color': {'n/a': 1}}"
50,Men Women Ski Glasses Dustproof Anti Fog Skiing Eyewear Windproof Uv400 Sports Snow Goggles,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}, 'Style': {'n/a': 1}}"
51,RBESBON Cycling Glasses UV400 Cycling Glasses Men Women Bicycle Glasses MTB Sports Sunglasses Hiking Fishing Running Eyewear,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lenses Optical Attribute': {'UV400': 1}, 'Feature': {'Cycling Glasses': 1, 'Sports Sunglasses': 1}}"
52,Windproof Sport Eyewear Cycling Glasses Outdoor Motocross Sunglasses Snowboard Goggles Gifts Ski Googles Double Lens,Eyewear,"{'Frame Color': {'n/a': 1}, 'Lenses Optical Attribute': {'Goggle': 1}}"
53,Cycling Glasses Men Summer Style Outdoor Women Mountain Bike Riding bicicleta Sport Protective Sunglasses Eyewear Gafas ciclismo,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Type': {'n/a': 1}}"
54,SOARED Men Women Snowboard Skate Eyewear Double Layer Anti-Fog Gray Lens Snow Skiing Goggles UV Protection Anti-Fog Ski Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
55,UV400 Snowboard Goggles Glasses Winter Snow Sports Skiing Goggles Men Women Anti-fog Skiing Eyewear Double Layers Ski Glasses   ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}, 'Frame Material': {'n/a': 1}, 'Feature': {'n/a': 1}}"
56,Portable Ski Goggles Unisex Anti-fog Snowboarding Eyewear Windproof TPU+PC Goggles Myopia Outdoor Skiing Skating Sports Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Frame Material': {'TPU': 1}}"
57,2018 Hot Sale Promotion Snowboarding Sunglasses Women Skiing Eyewear Ski Glasses Goggles Available Snowboard Women Snow Googles ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Women': 1}, 'Model Number': {'Skiing Eyewear': 1}}"
58,2018 Hot Cycling Glasses Gift High Quality Men Women UV400 MTB Bike Bicycle Sunglasses Outdoor Sports Eyewear Gafas Ciclismo,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lens Width': {'n/a': 1}}"
59,Top Quality Sports Unisex Women&#39;s Cycling sunglasses Vintage Eyewear Square Frame Mirror Lens goggle Hot,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Unisex': 1}}"
60,Fan Version Cooler Airsoft Tactical Googles Glass Paintball Eyewear Protection Cs Wargame Goggle for Snowing Skating Hiking,Eyewear,"{'Lenses Material': {'n/a': 1}, 'Feature': {'n/a': 1}}"
61,POLISI New Arrival Children Prevents Goggles Boy Girl Riding Bike Bicycle Sunglasses Polarized Glasses Outdoor Sports Eyewear,Eyewear,"{'Sport Type': {'n/a': 1}, 'Brand Name': {'POLISI': 1}, 'Lenses Optical Attribute': {'Polarized': 1}}"
62,NEWBOLER 5 Lens Cycling Glasses Women Polarized Racing Sport Sunglasses TR90 UV400 Cycling Eyewear Bike Bicycle Goggles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Women': 1}, 'Brand Name': {'NEWBOLER': 1}}"
63,3 Lens Man Woman Polarized Bike Cycling glasses  Sport Outdoor Goggles ciclismo Bicycle Cycling Eyewear Cycling Sunglasses,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Brand Name': {'n/a': 1}, 'Model Number': {'n/a': 1}}"
64,UV400 Cycling Glasses Colorful Men Women Sport Cycling Eyewear Bicycle Sports Sun Glasses Bike Goggles Glasses for Bicycles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Model Number': {'n/a': 1}}"
65,Skiing Goggle Skiing Eyewear Anti Fog Anti Snowblindness Protect Eyes and Face for  Men Women and Children Do Outdoor Sports.,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Women': 1}}"
66,Children Double Lens Ski Goggles Anti-fog UV400 for Outdoor Sports Skiing Goggles Snow Snowboard Protective Glasses Eyewear,Eyewear,"{'Lenses Optical Attribute': {'-': 1}, 'Lenses Color': {'n/a': 1}, 'Sport Type': {'Skiing': 1}}"
67,New Ski Goggles Men Women Snow Snowboard Googles Skiing Eyewear Mens Mask Glasses UV Protection Snowmobile Skiing Skating Mask,Eyewear,"{'Gender': {'Men': 1}, 'Sport Type': {'Skiing': 1}}"
68,Anti-Fog Ski Goggles Men Women Double Lens Outdoor Mountaineering Glasses Skiing Eyewear Anti-Air Skiing Snowboard Goggles,Eyewear,"{'Model Number': {'Ski Goggles': 1}, 'Gender': {'Men': 1}, 'Sport Type': {'Skiing': 1}}"
69,2018 Polarized Cycling Sunglasses Outdoor Sport Bicycle SunGlasses Cycling Glasses Cycling Goggle Bike Eyewear 4 Lenses YJ4,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lenses Optical Attribute': {'Goggle Bike Eyewear': 1}, 'Lens Width': {'1': 1}, 'Model Number': {'Sunglasses Outdoor Sport': 1}, 'Lens Height': {'1': 1}}"
70,New Professional Unisex Ski Goggles Adult Kids Big Mask Ski Mask Glasses Men Women Riding Climbing Hiking Snow Skiing Eyewear,Eyewear,"{'Lenses Optical Attribute': {'Skiing Eyewear': 1}, 'Gender': {'Men': 1}, 'Model Number': {'Skiing Eyewear': 1}, 'Sport Type': {'Skiing': 1}}"
71,COPOZZ Children of 4-15 Years Old Ski Snowboard Goggles Mountain Skiing Eyewear Snowmobile Winter Sport Gogle Snow Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lenses Optical Attribute': {'-': 1}, 'Lens Height': {'-': 1}, 'Brand Name': {'COPOZZ': 1}, 'Lens Width': {'-': 1}}"
72,ZONEBIKE Ski Snowboard Goggles Mountain Skiing Eyewear Snowmobile Winter Sport Google Snow Glasses,Eyewear,"{'Brand Name': {'ZONEBIKE': 1}, 'Lenses Material': {'n/a': 1}, 'Sport Type': {'Skiing': 1}}"
73,Men&#39;s Women Winter Big Ski Goggles Double Outdoor Sport Anti-fog Eyewear Snowboarding Cycling Skiing Hiking UV400 Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lens Width': {'n/a': 1}, 'Gender': {'Men': 1}}"
74,POC Crave 5 Lens Photochromic Mountain Bike Glasses Polarized Cycling Glasses Ciclismo Eyewear Sport Cycling SunGlasses ,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lens Width': {'n/a': 1}}"
75,2017 Skiing Goggles Mask 720P HD 1080P Camera Video Camcorder UV Anti-fog Men Women Snowboard Glasses Action Camera Ski Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
76,POLISI Men Women Winter Ski Goggles Outdoor Sports Snowmobile Snowboard Skate Snow Glasses UV400 Anti-Fog Skiing Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lenses Optical Attribute': {'UV400': 1}, 'Gender': {'Men': 1}, 'Brand Name': {'POLISI': 1}}"
77,Children Sports Eyewear Goggles PC Lens Protective Eye Glasses Child Eyewear Goggles Kids for Outdoor Soccer Cycling Basketball ,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Frame Color': {'n/a': 1}}"
78,NEWBOLER 5 Lens Cycling Glasses Polarized Racing Sport Sunglasses Men TR90 UV400 Cycling Eyewear Bike Bicycle Goggles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Men': 1}, 'Brand Name': {'NEWBOLER': 1}}"
79,Unisex Anti-fog Anti-slip Skiing Eyewears shockproof Double Lens Ski Goggles TPU Frame Ski Goggles for Adults Skiing 7 Colors,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Unisex': 1}, 'Lens Height': {'n/a': 1}}"
80,Children UV400 Protection Ski Goggles Anti-fogging Goggles Skiing OTG Goggle Climbing Skating Snow Sports Eyewear Glass for Kids,Eyewear,"{'Lenses Optical Attribute': {'n/a': 1}, 'Sport Type': {'Skiing': 1}}"
81,PHMAX Polarized Cycling Eyewear Cycling Glasses Bicycle Sunglasses TR90 Frame Bike Sunglasses Riding Protection Cycling Goggles,Eyewear,"{'Brand Name': {'PHMAX': 1}, 'Lenses Optical Attribute': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
82,Ski Goggles Face Mask Women Men PC Lens TPU Frame Plain Glass Windproof Eyewear Outdoor Sports Glasses,Eyewear,"{'Gender': {'Men': 1}, 'Frame Material': {'TPU': 1}, 'Model Number': {'Ski Goggles': 1}, 'Lenses Material': {'Glass': 1}}"
83,Cycling Eyewear Unisex Outdoor Sunglass UV400 Anti-UV Cycling Glasses Polarized MTB Bicycle Sun Glasses Riding Goggles C102G,Eyewear,"{'Lenses Optical Attribute': {'Polarized': 1}, 'Gender': {'Unisex': 1}, 'Model Number': {'C102G': 1}, 'Sport Type': {'Cycling': 1}}"
84,POLISI Winter Ski Snow Snowboard Goggles Anti-Fog Lens Snowmobile Motocross Goggles Men Women Skiing Snowboarding Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
85,Peter sagan Cycling Glasses Men Mountain Bike Goggles Bicycle Sport Sunglasses Men Women MTB Cycling Eyewear Oculos Ciclismo,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Brand Name': {'n/a': 1}}"
86,100% speedtrap speedcraft Polarized Cycling SunGlasses Mountain Bike Goggles Sport Eyewear MTB Bicycle Glasses Peter Sagan,Eyewear,"{'Lenses Optical Attribute': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
87,Ski Goggles Men Women Snowboard Goggle Glasses Skiing UV400 Protected Anti-fog Snow Skiing Eyewear Glasses Anti-fog Ski Mask,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
88,ZONEBIKE Oculos Ciclismo UV400 Goggles Cycling Sunglasses Bicycle Glasses Green Bicicleta Mountain Bike Sunglass Sports Eyewear,Eyewear,"{'Brand Name': {'ZONEBIKE': 1}, 'Lenses Optical Attribute': {'UV400': 1}, 'Sport Type': {'Cycling': 1}}"
89,POLISI Winter Outdoor Ski Snow Goggles Double Layer Anti-Fog Lens Skiing Snowboard Glasses UV400 Men Women Snowmobile Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lenses Optical Attribute': {'n/a': 1}, 'Gender': {'Men': 1}, 'Model Number': {'n/a': 1}, 'Brand Name': {'POLISI': 1}}"
90,OBAOLAY Double Layers Anti-Fog Ski Goggles Men Women Sports Glasses Skiing Mask Snow Sunglasses Snowboarding Eyewear,Eyewear,"{'Brand Name': {'OBAOLAY': 1}, 'Gender': {'Men': 1}, 'Sport Type': {'Skiing': 1}}"
91,WoSporT Winter Snow Sports Skiing Snowboard Snowmobile Anti-fog Goggles Windproof Dustproof Glasses Men Women Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Brand Name': {'WoSporT': 1}}"
92,Protection Ski Eyewear Case Large Snow Skiing Goggles Box Shockproof Waterproof Snowboard Bag Skiing Equipment,Eyewear,"{'Lenses Optical Attribute': {'n/a': 1}, 'Sport Type': {'Skiing': 1}}"
93,Ultra Light PC Camera Glasses Bicycle Sunglasses Bike Glasses Eyewear Lens Goggles Spectacles UV Proof Motorcycle Sports ,Eyewear,"{'Frame Color': {'n/a': 1}, 'Lens Height': {'n/a': 1}, 'Feature': {'Camera Glass': 1}}"
94,NEWBOLER 2018 Cycling Sunglasses Men Women Bicycle Eyewear 3 Polarized Lenses Cycling glasses myopia  Mountain MTB Bike Goggles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Brand Name': {'NEWBOLER': 1}}"
95,Outdoor Cycling Glasses Bicycle Bike Sport Sunglasses Polarized Gafas Ciclismo Riding Eyewear Goggles Man Oculos De Ciclismo,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Frame Material': {'n/a': 1}, 'Lenses Material': {'n/a': 1}, 'Model Number': {'Sunglasses': 1}}"
96,Winter Ski Goggles UV 400 Anti-fog Glasses TPU+PC Skiing Eyewear 2layers Lens Outdoor Sports Goggles Skating Snowboard Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'n/a': 1}, 'Frame Color': {'n/a': 1}, 'Lens Width': {'n/a': 1}}"
97,Windproof Double Layers Ski Goggles Men Women Snowboard Glasses UV400 Protection Snow Skiing Eyewear Anti-fog Ski Mask,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
98,Anti-fogging Skiing Goggles Children UV400 Protection OTG Ski Goggle Climbing Skating Snow Winter Sports Eyewear Glass for Kids,Eyewear,"{'Model Number': {' Skiing Goggles': 1}, 'Sport Type': {'Skiing': 1}}"
99,Polarized Cycling Sunglasses Men Bike Glasses Sport Bicycle Goggles 5 Lenses Eyewear gafas ciclismo lunette de soleil homme.A51,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Men': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Model Number': {'Cycling Sunglasses': 1}}"
100,Eyewear Anti-UV Ski Windproof Goggles Ski Goggles Anti-fog Big Ski Mask Glasses Skiing Men Women Snow Snowboard Goggles ,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lens Height': {'-': 1}, 'Lenses Optical Attribute': {'-': 1}, 'Lens Width': {'-': 1}, 'Model Number': {'Goggle': 1}}"
101,Peter sagan speedtrap Outdoor Cycling Glasses Mountain Bike Goggles Bicycle Sport Sunglasses Big Frame MTB Cycling Eyewear,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'n/a': 1}, 'Lens Width': {'n/a': 1}}"
102,5 Lens Polarized Cycling Glasses Outdoor Sports Cycling Sunglasses Men UV400 Breaker MTB Cycling Eyewear Bike Bicycle Goggles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lenses Optical Attribute': {'Polarized': 1}}"
103,Big Vision Adults Eyewear Adjustable Buckle Ski Goggle Mask Windproof Glasses Single Layer For Men Women,Eyewear,"{'Gender': {'Men': 1}, 'Lenses Optical Attribute': {'Goggle': 1}}"
104,SOARED Men Women UV 400 Anti-fog Ski Goggles Snow Skiing Snowboard Skateboard Motocross Goggles Ski Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
105,High Quality Skiing Eyewear Snowboard Goggles Men Women Snow Ski Googles Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
